fruit_label	fruit_name	mass	width	height	color_score
0	apple	140	7.3	7.1	0.87
1	orange	140	6.7	7.1	0.72
0	apple	152	7.6	7.3	0.69
1	orange	142	7.6	7.8	0.75
1	orange	144	6.8	7.4	0.75
1	orange	150	7.1	7.9	0.75
0	apple	154	7	7.1	0.88
1	orange	154	7.3	7.3	0.79
1	orange	154	7.1	7.5	0.78
1	orange	154	7.2	7.2	0.82
0	apple	156	7.7	7.1	0.69
0	apple	156	7.6	7.5	0.67
0	apple	156	7.4	7.4	0.84
1	orange	158	7.1	7.5	0.79
1	orange	158	7.2	7.8	0.77
0	apple	160	7.5	7.5	0.86
1	orange	160	7	7.4	0.81
1	orange	160	7.1	7.6	0.76
0	apple	162	7.5	7.1	0.83
0	apple	162	7.4	7.2	0.85
0	apple	164	7.3	7.7	0.7
1	orange	164	7.2	7	0.8
0	apple	166	6.9	7.3	0.93
0	apple	168	7.5	7.6	0.73
0	apple	170	7.6	7.9	0.88
0	apple	172	7.4	7	0.89
0	apple	172	7.1	7.6	0.92
0	apple	176	7.4	7.2	0.6
0	apple	178	7.1	7.8	0.92
0	apple	180	8	6.8	0.59
1	orange	180	7.6	8.2	0.79
1	orange	190	7.5	8.1	0.74
0	apple	192	8.4	7.3	0.55
1	orange	204	7.5	9.2	0.77
1	orange	210	7.8	8	0.82
1	orange	342	9	9.4	0.75
1	orange	356	9.2	9.2	0.75
1	orange	362	9.6	9.2	0.74
